iter,xu,proposed,teng
60,0.053131818771362305,0.027536392211914062,0.026540756225585938
70,0.07162332534790039,0.037369728088378906,0.035102128982543945
80,0.09165382385253906,0.047388315200805664,0.046164751052856445
90,0.11576676368713379,0.06186366081237793,0.057883501052856445
100,0.14039206504821777,0.07628679275512695,0.07140541076660156
110,0.1716938018798828,0.09249067306518555,0.08960676193237305
120,0.2112417221069336,0.10990047454833984,0.10329413414001465
130,0.2395038604736328,0.1272592544555664,0.12154865264892578
140,0.2775082588195801,0.14753937721252441,0.13963961601257324
150,0.3193705081939697,0.1737229824066162,0.16054892539978027
160,0.36647987365722656,0.19637274742126465,0.1835649013519287
170,0.409043550491333,0.22023916244506836,0.20905852317810059
180,0.45708441734313965,0.24876618385314941,0.23385047912597656
190,0.5144498348236084,0.27489447593688965,0.2588186264038086
200,0.5658206939697266,0.3042788505554199,0.2873575687408447
210,0.6237621307373047,0.3374354839324951,0.3169271945953369
220,0.6801602840423584,0.3676624298095703,0.34900760650634766
230,0.7495136260986328,0.402285099029541,0.3817145824432373
240,0.8134279251098633,0.44109249114990234,0.4158773422241211
250,0.878570556640625,0.4750783443450928,0.4526674747467041
260,0.9532480239868164,0.5169947147369385,0.48778271675109863
270,1.0260522365570068,0.5550179481506348,0.5271506309509277
280,1.1120038032531738,0.5976312160491943,0.5636436939239502
290,1.189835548400879,0.6410977840423584,0.6106817722320557
300,1.2707700729370117,0.6839139461517334,0.6567990779876709
310,1.3625173568725586,0.7237973213195801,0.6957290172576904
320,1.4426696300506592,0.7763402462005615,0.7443931102752686
330,1.5405540466308594,0.8291850090026855,0.7913227081298828
340,1.6274206638336182,0.8804423809051514,0.8413822650909424
350,1.7344927787780762,0.9322640895843506,0.8822565078735352
360,1.825263261795044,0.9810681343078613,0.9352765083312988
370,1.924257516860962,1.0393390655517578,0.9908521175384521
380,2.0476036071777344,1.0974388122558594,1.0557332038879395
390,2.1710145473480225,1.1637725830078125,1.1098628044128418
400,2.2699105739593506,1.221651554107666,1.1663262844085693
410,2.392742872238159,1.2982056140899658,1.2266802787780762
420,2.491373300552368,1.3449411392211914,1.2887375354766846
430,2.6140823364257812,1.4028398990631104,1.363384485244751
440,2.771110773086548,1.4827420711517334,1.4226982593536377
450,2.889350652694702,1.5510249137878418,1.4823942184448242
460,3.013094425201416,1.6118896007537842,1.5647482872009277
470,3.0966906547546387,1.6757211685180664,1.6229078769683838
480,3.299062490463257,1.7691864967346191,1.6870779991149902
490,3.481423854827881,1.8336477279663086,1.7667860984802246
500,3.5531654357910156,1.91056227684021,1.8224372863769531
510,3.721411943435669,1.998868465423584,1.9169285297393799
520,3.79795241355896,2.0675697326660156,1.9782638549804688
530,4.017306804656982,2.1488075256347656,2.063669204711914
540,4.146041631698608,2.2549290657043457,2.1352245807647705
550,4.293518304824829,2.3293893337249756,2.2110586166381836
560,4.470884799957275,2.3971073627471924,2.290356397628784
570,4.600773811340332,2.5064313411712646,2.3867743015289307
580,4.7796471118927,2.5988359451293945,2.4576072692871094
590,5.031356334686279,2.7496118545532227,2.5906286239624023
